t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,u_tube_f,curv_f,rail_k,rail_deg,gate_fine_deg,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
1.256267,0,0,0.281698,0.281698,0.2750,+0.00670,0,0,0.0000,1,1,+0.04286,-0.01833,0.09095,176.70,+0.03616,+0.03015,+0.00000,-0.02337,0.09039,1.0000,1,0,0,1,-0.06330,+0.04186,0.8119,+2.427,+0.000,0,0,+0.000,+2.427,+2.427,+0.00409,-3.317,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00978,+1.430,0,34.9,33.9
1.286648,0,0,0.280479,0.280479,0.2750,+0.00548,0,0,0.0000,1,1,+0.04286,-0.01833,0.09095,176.70,+0.03704,+0.03106,+0.00000,-0.02271,0.09047,1.0000,1,0,0,1,-0.05956,+0.03939,0.7640,+2.284,+0.000,0,0,+0.000,+2.284,+2.284,+0.00348,-3.296,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00978,+1.431,0,34.9,33.9
1.315014,0,0,0.278326,0.278326,0.2750,+0.00333,0,0,0.0000,1,1,+0.04300,-0.01036,0.08802,178.14,+0.03778,+0.03189,+0.00000,-0.02117,0.09016,1.0000,1,0,0,1,-0.05628,+0.03722,0.7219,+2.158,+0.000,0,0,+0.000,+2.158,+2.158,+0.00309,-3.329,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.00952,+1.401,0,34.9,33.9
1.344397,0,0,0.276203,0.276203,0.2750,+0.00120,0,0,0.0000,1,1,+0.04467,-0.00787,0.08784,178.58,+0.03866,+0.03276,+0.00000,-0.01947,0.08986,1.0000,1,0,0,1,-0.05307,+0.03509,0.6807,+2.035,+0.000,0,0,+0.000,+2.035,+2.035,+0.00276,-3.396,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01003,+1.357,0,34.9,33.9
1.373477,0,0,0.274207,0.274207,0.2750,-0.00079,0,0,0.0000,1,1,+0.04473,-0.00537,0.08642,179.03,+0.03943,+0.03361,+0.00000,-0.01768,0.08943,1.0000,1,0,0,1,-0.05007,+0.03311,0.6422,+1.920,+0.000,0,0,+0.000,+1.920,+1.920,+0.00239,-3.362,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01052,+1.339,0,34.9,33.9
1.402836,0,0,0.273090,0.273090,0.2750,-0.00191,0,0,0.0000,1,1,+0.04531,-0.00780,0.08696,178.60,+0.04019,+0.03445,+0.00000,-0.01641,0.08911,1.0000,1,0,0,1,-0.04721,+0.03122,0.6056,+1.811,+0.000,0,0,+0.000,+1.811,+1.811,+0.00221,-3.478,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01027,+1.272,0,34.9,33.9
1.432918,0,0,0.272415,0.272415,0.2750,-0.00259,0,0,0.0000,1,1,+0.04659,-0.00863,0.08802,178.45,+0.04102,+0.03531,+0.00000,-0.01540,0.08897,1.0000,1,0,0,1,-0.04446,+0.02940,0.5703,+1.705,+0.000,0,0,+0.000,+1.705,+1.705,+0.00193,-3.530,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.01003,+1.233,0,34.9,33.9
1.463861,0,0,0.272406,0.272406,0.2750,-0.00259,0,0,0.0000,1,1,+0.04875,-0.01128,0.08975,177.97,+0.04206,+0.03621,+0.00000,-0.01484,0.08907,1.0000,1,0,0,1,-0.04179,+0.02764,0.5360,+1.603,+0.000,0,0,+0.000,+1.603,+1.603,+0.00170,-3.604,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.01003,+1.188,0,34.9,33.9
1.495165,0,0,0.272908,0.272908,0.2750,-0.00209,0,0,0.0000,1,1,+0.05060,-0.01383,0.09129,177.51,+0.04322,+0.03716,+0.00000,-0.01471,0.08937,1.0000,1,0,0,1,-0.03925,+0.02596,0.5035,+1.505,+0.000,0,0,+0.000,+1.505,+1.505,+0.00148,-3.654,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.01026,+1.143,0,34.9,33.9
1.526771,0,0,0.274094,0.274094,0.2750,-0.00091,0,0,0.0000,1,1,+0.05212,-0.01813,0.09296,176.74,+0.04443,+0.03815,+0.00000,-0.01517,0.08986,1.0000,1,0,0,1,-0.03685,+0.02437,0.4727,+1.413,+0.000,0,0,+0.000,+1.413,+1.413,+0.00127,-3.690,+0.00000,+0.00,+0.00000,0,+0.00000,+0.00000,0.01039,+1.101,0,34.9,33.9
